;;Nß DE AMOSTRAS (CONJUNTAS);;;;;;;
TRINDADE;ESPêCIE;PEITO;PRIMµRIA;SECUNDµRIA;COBERT. N;COBERT. V;DORSO;VENTRE;
2014;Pterodroma arminjoniana;9;1;1;1;1;2;2;
;Sula dactylatra;1;-;-;-;-;-;-;
;Onychoprion fuscatus;1;1;1;-;-;-;-;
;Anous stolidus;1;1;1;-;-;-;-;
;;;;;;;;;
;;;;;;;;;
;;Nß DE AMOSTRAS (CONJUNTAS);;;;;;;
ASPSP;ESPêCIE;PEITO;PRIMµRIA;SECUNDµRIA;COBERT. N;COBERT. V;DORSO;VENTRE;
2013;Anous stolidus;-;-;-;-;-;-;9;
;Anous minutus;-;-;-;-;-;-;5;
;Sula leucogaster;-;-;-;-;-;-;10;
2014;Anous stolidus;-;-;-;-;-;-;6;
;Sula leucogaster;-;-;-;-;-;-;3;
2015;Anous stolidus;7;-;-;-;-;7;-;7 de 4
;Anous minutus;7;-;-;-;-;7;-;
;Sula leucogaster;7;-;-;-;-;6;-;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
